document,chunk_count,belongs_to,data_source,source_path
Land Acquisition PPT.pdf,31,ISO_Ai_helpdesk_Document/Acts and Manuals,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/9.Acts and Manuals/Land Acquisition PPT.pdf
Land GO.pdf,3,ISO_Ai_helpdesk_Document/Acts and Manuals,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/9.Acts and Manuals/Land GO.pdf
NICD Act PPT.pdf,46,ISO_Ai_helpdesk_Document/Acts and Manuals,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/9.Acts and Manuals/NICD Act PPT.pdf
Rules for Irrigation Deptt.docx,14,ISO_Ai_helpdesk_Document/Acts and Manuals,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/9.Acts and Manuals/Rules for Irrigation Deptt.docx
UP RTI 2015 Rule.pdf,87,ISO_Ai_helpdesk_Document/Acts and Manuals,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/9.Acts and Manuals/UP RTI 2015 Rule.pdf
DOC-20240420-WA0077_250326_145348.pdf,1,ISO_Ai_helpdesk_Document/Canals,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/6.Canals/DOC-20240420-WA0077_250326_145348.pdf
Emailing ADCP measurements direction.pdf,2,ISO_Ai_helpdesk_Document/Canals,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/6.Canals/Emailing ADCP measurements direction.pdf
GO L section standing order by EnC 2022 (1).pdf,2,ISO_Ai_helpdesk_Document/Canals,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/6.Canals/GO L section standing order by EnC 2022 (1).pdf
GO L section standing order by EnC 2022.pdf,2,ISO_Ai_helpdesk_Document/Canals,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/6.Canals/GO L section standing order by EnC 2022.pdf
HSR CANAL PART 1.pdf,2,ISO_Ai_helpdesk_Document/Canals,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/6.Canals/HSR CANAL PART 1.pdf
HSR CANAL PART 2.pdf,41,ISO_Ai_helpdesk_Document/Canals,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/6.Canals/HSR CANAL PART 2.pdf
L section standing order_250403_114836.pdf,2,ISO_Ai_helpdesk_Document/Canals,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/6.Canals/L section standing order_250403_114836.pdf
Building _50 cr EPC mode 30.01.2025.pdf,4,ISO_Ai_helpdesk_Document/Design,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/3.Design/Building _50 cr EPC mode 30.01.2025.pdf
Design Criteria for Channels and Drains.pdf,25,ISO_Ai_helpdesk_Document/Design,ISO_Ai_helpdesk_Document,vectorDB/../ISO_Ai_helpdesk_Document/3.Design/Design Criteria for Channels and Drains.pdf
